building_id,floor,room_id,name,capacity,date,available
b1,2F,b1-201,201,40,2026-07-09,00:00-08:50/10:30-13:10/14:50-15:00/16:40-16:50/19:00-24:00
b1,2F,b1-202,202,40,2026-07-09,00:00-08:50/10:30-10:40/12:20-13:00/16:00-17:00/21:00-24:00
b1,2F,b1-203,203,40,2026-07-09,00:00-08:50/10:30-10:40/12:20-13:10/14:50-15:00/16:40-16:50/21:00-24:00
b1,2F,b1-204,204,40,2026-07-09,00:00-08:50/10:30-10:40/12:20-13:10/14:50-15:00/16:40-16:50/18:30-18:40/20:20-24:00
b1,2F,b1-205,205,40,2026-07-09,00:00-08:50/10:30-10:40/12:20-13:10/14:50-15:00/16:40-18:40/20:20-24:00
b1,2F,b1-206,206,128,2026-07-09,00:00-08:50/10:30-10:40/12:20-13:10/14:50-24:00
b1,2F,b1-207,207,104,2026-07-09,00:00-08:30/10:30-10:40/12:20-13:10/14:50-16:00/21:00-24:00
b1,2F,b1-208,208,104,2026-07-09,00:00-10:40/12:20-13:10/14:50-24:00
b1,3F,b1-301,301,40,2026-07-09,00:00-08:50/10:30-10:40/12:20-13:10/14:50-15:00/16:40-24:00
b1,3F,b1-302,302,40,2026-07-09,00:00-08:50/10:30-10:40/12:20-13:10/14:50-15:10/21:00-24:00
b1,3F,b1-303,303,117,2026-07-09,00:00-08:50/10:30-10:40/12:20-13:10/14:50-15:00/16:40-16:50/18:30-24:00
b1,3F,b1-304,304,40,2026-07-09,00:00-08:50/10:30-10:40/12:20-13:10/14:50-15:00/16:40-24:00
b1,3F,b1-305,305,40,2026-07-09,00:00-08:50/10:30-10:40/12:20-13:10/14:50-15:00/16:40-18:40/20:20-24:00
b1,3F,b1-306,306,134,2026-07-09,00:00-10:40/12:20-13:10/14:50-24:00
b1,3F,b1-307,307,104,2026-07-09,
b1,3F,b1-308,308,110,2026-07-09,00:00-13:10/14:50-16:50/18:30-24:00
b1,4F,b1-401,401,40,2026-07-09,00:00-08:50/10:30-10:40/12:20-13:10/14:50-15:00/16:40-24:00
b1,4F,b1-402,402,40,2026-07-09,00:00-08:50/10:30-10:40/12:20-13:10/14:50-15:00/16:40-24:00
b1,4F,b1-403,403,117,2026-07-09,00:00-13:10/14:50-15:00/16:40-18:40/20:20-24:00
b1,4F,b1-404,404,40,2026-07-09,00:00-08:50/10:30-10:40/12:20-13:10/14:50-24:00
b1,4F,b1-405,405,40,2026-07-09,00:00-08:50/10:30-10:40/12:20-12:30/16:40-24:00
b1,4F,b1-406,406,134,2026-07-09,00:00-13:10/14:50-15:00/16:40-24:00
b1,4F,b1-407,407,104,2026-07-09,
b1,4F,b1-408,408,110,2026-07-09,00:00-10:40/12:20-13:10/14:50-24:00
b1,5F,b1-501,501,40,2026-07-09,00:00-08:50/10:30-10:40/12:20-13:10/14:50-24:00
